K_beta	Mean_C1	Mean_C2	N	N_C1	N_C2	N_Tail	pi_C1	pi_C2	pi_Tail	rcc_C1	rcc_C2	rcc_Tail	Scale_Tail	Shape_Tail	tail	Variance_C1	Variance_C2	NLL	BIC	AIC	entropy	ICL	reduced.entropy	reICL	size	sse_total	sse_0_0.1	sse_0.1_0.2	sse_0.2_0.3	sse_0.3_0.4	sse_0.4_0.5	sse_0.5_0.6	sse_0.6_0.7	sse_0.7_0.8	sse_0.8_0.9	sse_0.9_1	sample	karyotype	Mean_Tail	Variance_Tail	Mean_C3	N_C3	pi_C3	rcc_C3	Variance_C3
2	0.26706573666290584	0.10523440610883465	1145	80	1065	0	0.06797931918714596	0.932020680812854	0	FALSE	TRUE	FALSE	NA	NA	FALSE	0.001365083035148008	0.0019160998682155865	-1833.8994848011537	-3625.5400101063774	-3655.7989696023074	54.42527059751811	-3571.114739508859	54.425270597518114	-3571.114739508859	6	0.016446030031526268	0.015176722904517548	0.0012442476672764055	2.1481760901466543e-5	3.5769440754047326e-6	7.547554398249916e-10	3.3635095028958035e-18	5.647169769376147e-27	4.160740461633097e-36	1.7788129360327234e-50	2.1272816889304985e-75	./160704_HMFregCPCT_FR12244545_FR12244599_CPCT02100011	2:1	NA	NA	NA	NA	NA	NA	NA
1	0.47160095162947646	NA	13510	9224	NA	4286	0.6600540926955654	NA	0.33994590730443464	TRUE	NA	TRUE	0.05660377258490566	1.4333687657864536	TRUE	0.007413968335079573	NA	-9025.996216284515	-17994.925319983304	-18039.99243256903	1418.0123517454851	-16576.91296823782	-0	-17994.925319983304	6	0.010900947358671571	0.009149079131896396	4.514417122803432e-4	3.730949982978412e-5	1.0596613212195963e-4	5.411605903899914e-4	5.368513617865127e-4	6.505239954717892e-5	1.3880058045267676e-5	1.2222266012319377e-7	8.425011401502852e-8	./160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002	1:0	0.18721718327264703	Inf	NA	NA	NA	NA	NA
1	0.30533818520947364	NA	35897	33062	NA	2835	0.9117744566581941	NA	0.0882255433418058	TRUE	NA	TRUE	0.050314464408805035	1.3458651580775338	TRUE	0.001899375043666585	NA	-52231.214222184535	-104399.49799033592	-104450.42844436907	1958.9695090290227	-102440.5284813069	-0	-104399.49799033592	6	9.363817246621126e-4	1.9317291254479873e-4	9.251461583557948e-6	3.712853911746244e-4	3.565505625308892e-4	6.048596015661876e-6	3.4440468063597854e-8	1.2305791848744065e-8	9.99492852846304e-9	1.0101245769852759e-8	5.958378369819471e-9	./160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002	1:1	0.19578868531175547	Inf	NA	NA	NA	NA	NA
2	0.46548149088376906	0.22638498339476906	4904	2015	2743	146	0.408095827255659	0.5510223815106505	0.04088179123369049	TRUE	TRUE	FALSE	0.05113636263636364	1.2163263409535179	TRUE	0.0020549726593577806	0.0019477809728726061	-4552.632728042891	-9028.785197787238	-9087.265456085783	390.07215386785873	-8638.713043919379	61.936995610639066	-8966.8482021766	9	8.345959007443746e-4	1.6231359975406414e-5	2.1112037258535224e-4	4.7741574690615397e-4	2.0251753240576703e-5	6.127814416584168e-5	4.775402678683928e-5	5.31647259067787e-7	6.70742186971725e-9	3.821345162462758e-9	2.321058104402693e-9	./160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002	2:1	0.28752164244540607	Inf	NA	NA	NA	NA	NA
2	0.6125158818793276	0.30601731592927633	4024	2809	624	591	0.6944863386421696	0.14487051225493122	0.1606431491028992	FALSE	FALSE	FALSE	0.05161290222580645	1.3627765259740525	TRUE	0.0020391442244619908	0.0018314832200268737	-3653.5451256995266	-7232.389965993037	-7289.090251399053	285.1573492219308	-6947.232616771106	2.1842496118998875	-7230.205716381137	9	9.443814187596451e-4	5.768113365569937e-4	8.642448140501975e-6	2.8110350550762694e-5	3.410130146995926e-5	1.2256075910069438e-6	1.329421581868693e-4	1.5050811273037515e-4	1.1896387061613781e-5	1.2405306606798925e-7	1.9663405494293675e-8	./160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002	2:0	0.1938847928538623	Inf	NA	NA	NA	NA	NA
1	0.3445520060965368	NA	988	949	NA	39	0.9478740217390801	NA	0.05212597826091997	TRUE	NA	TRUE	0.05084745662711865	1.1135722962465533	TRUE	0.005492748712049567	NA	-1020.8855520845449	-2000.3970079826026	-2029.7711041690898	65.74661865478365	-1934.650389327819	-0	-2000.3970079826026	6	0.002451526931252801	5.7745291535672024e-5	8.520219582812439e-5	9.96436705128436e-4	2.538429539602587e-4	0.0010155495794528123	4.261233533586839e-5	1.0722435698931242e-7	1.5823262507096132e-8	9.140273084551107e-9	5.682119048111866e-9	./160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002	2:2	0.4985574907426063	Inf	NA	NA	NA	NA	NA
2	0.722523869059571	0.1811813103312091	4473	3841	632	0	0.8581419353449304	0.14185806465506962	0	FALSE	FALSE	FALSE	NA	NA	FALSE	0.009784087467600558	0.0047359794678027405	-2537.2214316827167	-5024.007975744837	-5062.442863365433	26.43663102207915	-4997.571344722757	26.436631022079055	-4997.571344722757	6	7.630887163431577e-4	1.570122630001226e-5	4.0025301079696124e-5	1.6199678209027277e-5	1.2984407761797703e-6	6.992720113606291e-6	5.757061153031881e-5	1.3554781967923846e-4	3.0538385543753347e-4	1.529770528683483e-4	3.139201034919697e-5	./160704_HMFregCPCT_FR12244561_FR12244603_CPCT02030247	1:0	NA	NA	NA	NA	NA	NA	NA
1	0.4062994741050133	NA	22470	21401	NA	1069	0.9463774742467432	NA	0.05362252575325676	TRUE	NA	TRUE	0.05202312038728324	0.8637129136556517	TRUE	0.0023733643800006965	NA	-31009.568786987595	-61959.01795578411	-62007.13757397519	861.7610294073384	-61097.25692637677	-0	-61959.01795578411	6	5.56331576286216e-4	5.88700002468707e-5	1.6862630555322673e-5	9.610524795451295e-6	2.3422714666704596e-4	0.00020917050371660354	2.7470339108768592e-5	3.2377294367574395e-8	2.8783563376968745e-8	4.2981263945396396e-8	1.6289074463306123e-8	./160704_HMFregCPCT_FR12244561_FR12244603_CPCT02030247	1:1	Inf	Inf	NA	NA	NA	NA	NA
2	0.5665989085257546	0.2965612541362339	5831	2643	3011	177	0.4510986273867452	0.511165586903399	0.03773578570985581	FALSE	TRUE	FALSE	0.058823528411764706	1.0982287723583077	TRUE	0.0022497258112624567	0.0018608349509249126	-5157.996372455233	-10237.954250789466	-10297.992744910465	311.0535341551979	-9926.900716634267	45.418069078722276	-10192.536181710744	9	5.886332680498116e-4	5.1373151578127516e-5	2.0370065266420652e-5	1.6745883364815487e-4	2.351845628199678e-5	8.220257341295096e-6	2.9274550711097416e-4	2.468814065926159e-5	2.267745438057713e-7	2.7719052091535646e-8	4.362567683662344e-9	./160704_HMFregCPCT_FR12244561_FR12244603_CPCT02030247	2:1	0.6576656700726106	Inf	NA	NA	NA	NA	NA
2	0.45180441663871973	0.22239778530933	300	234	66	0	0.7792831095212405	0.2207168904787595	0	FALSE	TRUE	FALSE	NA	NA	FALSE	0.001204582961866426	0.0027904218914213837	-395.02712914319835	-755.8315634384595	-778.0542582863967	3.40840351398322	-752.4231599244763	3.4084035139832167	-752.4231599244763	6	0.0036492155902021267	2.7503712175194937e-5	3.0745197135068373e-4	0.0015773982969969145	1.9331678809525083e-4	0.0013493411246842922	1.942036890256995e-4	7.874091077573126e-12	3.015260532579407e-26	4.559857326601333e-45	9.876807296977333e-72	./160704_HMFregCPCT_FR12244561_FR12244603_CPCT02030247	2:2	NA	NA	NA	NA	NA	NA	NA
1	0.32638756351075204	NA	341	341	NA	0	1	NA	0	TRUE	NA	TRUE	NA	NA	FALSE	0.042281816342407005	NA	-101.58036734594032	-185.66508726003008	-197.16073469188063	-0	-185.66508726003008	-0	-185.66508726003008	3	0.013873995707349549	0.0017882468691274161	0.006613503943145156	9.365054976971775e-4	0.0014590283690979976	8.914346172011416e-4	0.0018934171616619836	1.9858676594469704e-4	6.518821878728241e-5	2.6666896497166998e-5	1.4173681895298177e-6	./160709_HMFregCPCT_FR10301841_FR12244644_CPCT02020314	1:0	NA	NA	NA	NA	NA	NA	NA
2	0.3449504561921414	0.1440794601243173	3726	2694	1032	0	0.7176983975154239	0.2823016024845761	0	TRUE	TRUE	FALSE	NA	NA	FALSE	0.002147055599735659	0.0032827115591960066	-3979.9975410393245	-7910.65653877168	-7947.995082078649	261.5474125080842	-7649.1091262635955	261.54741250808416	-7649.1091262635955	6	6.130841060160831e-4	2.1746930615104446e-4	1.386717301813776e-4	6.651115474680218e-5	1.6758600972285648e-4	2.18459294139787e-5	7.838856418498184e-7	1.440600115476379e-7	7.203014662623888e-8	4.7660441307979994e-36	7.118431848473583e-54	./160709_HMFregCPCT_FR10301841_FR12244644_CPCT02020314	1:1	NA	NA	NA	NA	NA	NA	NA
2	0.523852245750857	0.25118235811643164	895	143	629	123	0.15118633459007508	0.6779374978636677	0.17087616754625723	FALSE	TRUE	FALSE	0.05555555455555555	1.1322029361681283	TRUE	0.0035107909279587456	0.0016569413944579853	-836.5993456124166	-1612.0272777603595	-1655.1986912248333	157.77709315643983	-1454.2501846039197	4.958992942010152	-1607.0682848183494	9	0.0026009279078360436	7.56038440687332e-4	4.209594332474217e-4	0.0011604861198447442	6.833603182655889e-5	4.143075163792804e-5	1.279392112711371e-4	1.976882565576491e-5	5.78812800215426e-6	1.1177586950860475e-7	6.918979349392487e-8	./160709_HMFregCPCT_FR10301841_FR12244644_CPCT02020314	2:1	0.4757849092568998	Inf	NA	NA	NA	NA	NA
2	0.767125567360527	0.19877039515870842	151	20	131	0	0.13337703187446623	0.8666229681255337	0	FALSE	TRUE	FALSE	NA	NA	FALSE	0.007372457690215131	0.006028170981468205	-122.65185838652398	-215.20003775215844	-233.30371677304797	0.6381842920735824	-214.56185346008485	0.6381842920735787	-214.56185346008485	6	0.0076062980573052335	0.0010055356211105659	0.002216576858840433	0.0031453489377739775	4.3444013136831544e-4	1.1077702478740336e-4	6.602265456460194e-5	5.389943009595741e-5	1.548765193718746e-4	4.096694347977538e-4	9.151444594350528e-6	./160709_HMFregCPCT_FR10301926_FR10301880_CPCT02020307	1:0	NA	NA	NA	NA	NA	NA	NA
