tail,K_beta,N,N_Tail,N_C1,N_C2,pi_Tail,pi_C1,pi_C2,Mean_Tail,Mean_C1,Mean_C2,Variance_Tail,Variance_C1,Variance_C2,Scale_Tail,Shape_Tail,id,karyotype,NLL,BIC,AIC,entropy,ICL,reduced.entropy,reICL,size,PF
TRUE,2,4046,58,685,3303,0.0203361577,0.8113042243,0.168359618,0.1851863266,0.408678094,0.2030409009,Inf,0.0018489169,0.0012959389,0.051948099,1.3898888475,8,2:1,-5540.5532392871,-10981.4406703615,-11057.1064785742,193.0467439023,-10788.3939264592,41.5975736625,-10939.8430967157,12,P
FALSE,2,2147,0,1605,542,0,0.3135992615,0.6864007385,NA,0.5434003962,0.303443928,NA,0.0035298458,0.0299321649,NA,NA,9,2:0,-1551.5848496779,-3041.7950849727,-3087.1696993557,531.6202334964,-2510.1748514762,531.6202334964,-2510.1748512479,8,R
TRUE,2,338,90,11,237,0.3004035916,0.0290755802,0.6705208282,0.3186197083,0.5080562192,0.2522208285,Inf,5.632105e-4,0.0030829911,0.051546399,1.1930046815,9,2:1,-324.024981152,-578.1734115582,-624.0499623039,85.386970858,-492.7864407002,0.514211455,-577.6592001038,12,R
TRUE,2,813,166,74,573,0.2167949019,0.1932302336,0.5899748646,0.1353433651,0.2149269172,0.2095530751,Inf,0.0106802298,0.0011388164,0.050602399,1.5971421064,10,2:0,-1077.6873937165,-2074.9660141185,-2131.3747874331,445.3954011534,-1629.5706129651,260.1155761342,-1814.8504431526,12,F
TRUE,2,10205,1114,505,8586,0.1409465138,0.8130247618,0.0460287244,0.11938601929999999,0.3442752309,0.1717984367,Inf,0.0020302502,0.0011636647,0.050251299,1.7268605231,10,2:1,-15744.2987794936,-31377.8299620844,-31464.5975589873,1829.0632398219,-29548.7667222625,163.9081413295,-31213.9218214283,12,P
FALSE,2,23,0,1,22,0,0.9565219578,0.0434780422,NA,0.433333,0.2252767748,NA,3.08148791101958e-33,0.0021384947,NA,NA,10,2:2,-67.7933728059,-110.5027918843,-119.5867456118,1.10715539764545e-15,-110.5027918843,1.10715539764545e-15,-110.5027254994,8,F
TRUE,2,819,94,43,682,0.1323160424,0.0495472728,0.8181366848,0.1839263342,0.559616307,0.2857264637,Inf,0.0031367206,0.0024900031,0.050359699,1.3770380149,11,2:0,-902.7353415881,-1724.97367417,-1781.4706831762,86.5960929458,-1638.3775812242,5.9549498196,-1719.0187243247,12,P
TRUE,2,308,54,6,248,0.2407726816,0.7422623416,0.0169649768,0.1476327206,0.6638057548,0.2279242995,Inf,0.0329805956,0.0069577857,0.052083299,1.5450927713,11,2:1,-287.7570178312,-506.7528382667,-551.5140356624,104.2784310635,-402.4744072033,5.5287869321,-501.2240512233,12,F
TRUE,2,835,90,39,706,0.1342890303,0.0405978513,0.8251131184,0.3066160222,0.4796604922,0.2511426389,Inf,0.0025876768,0.0021214444,0.051724099,1.20292561,12,2:0,-998.7618836125,-1916.7945865267,-1973.5237672249,125.6145232224,-1791.1800633044,8.7775546349,-1908.0170318909,12,P
TRUE,2,1800,154,436,1210,0.108453513,0.6528671106,0.2386793764,0.1443792872,0.3954979922,0.1945134215,Inf,0.0019717926,0.0016987289,0.050359699,1.5356298614,12,2:1,-1895.6025148288,-3701.258526331,-3767.2050296576,296.0176993292,-3405.2408270018,44.8247552203,-3656.4337710979,12,P
