tail,K_beta,N,N_Tail,N_C1,N_C2,pi_Tail,pi_C1,pi_C2,Mean_Tail,Mean_C1,Mean_C2,Variance_Tail,Variance_C1,Variance_C2,Scale_Tail,Shape_Tail,id,karyotype,NLL,BIC,AIC,entropy,ICL,reduced.entropy,reICL,size,PF,ratioM,ratioV,ratioN,minpi,QC,prob
FALSE,2,389,0,32,357,0,0.9114515281,0.0885484719,NA,0.5120153718,0.2416805911,NA,0.0080533855,0.0066386248,NA,NA,5,2:0,-334.0700831027,-620.4315314565,-652.1401662054,32.6643361583,-587.7671952982,32.6643361583,-587.7671953461,8,F,0.11856222905439573,1.2131105074653412,10.848484848484848,0.0885484719,PASS,0.6136723396387551
TRUE,2,17511,1135,1802,14574,0.0842369438,0.1008842048,0.8148788514,0.3383527448,0.449177125,0.2279281367,Inf,0.0030977656,0.0016610419,0.050359699,1.1748642883,5,2:1,-21526.9478030195,-42936.6485916326,-43029.895606039,2179.5540451087,-40757.0945465239,340.4353099085,-42596.2132829341,12,P,0.029303746771690342,1.8649533163492145,8.083749306711038,0.1008842048,PASS,0.9514542860366331
FALSE,2,463,0,248,215,0,0.5115009978,0.4884990022,NA,0.604496601,0.2816490502,NA,0.0038800148,0.0264064025,NA,NA,6,2:0,-200.9315260433,-352.7612356539,-385.8630520866,96.2410973314,-256.5201383225,96.2410973314,-256.5201382763,8,R,0.14627601467409468,6.805747880136952,1.1527777777777777,0.4884990022,FAIL,0.49555706679297734
TRUE,2,1074,178,183,713,0.1978551879,0.1375121376,0.6646326746,0.1269158088,0.4102564979,0.2379879165,Inf,0.0013447355,0.0091454153,0.050632899,1.6637515417,6,2:1,-889.7588486346,-1695.7679539683,-1755.5176972692,452.6896434842,-1243.0783104842,168.9156127712,-1526.8523412078,12,R,0.2761456802786877,6.800902705401916,3.880434782608696,0.1375121376,FAIL,0.2465739830710473
TRUE,2,4428,279,265,3884,0.079092674,0.0582414702,0.8626658558,0.2136468926,0.4974200825,0.2469158312,Inf,0.0031941586,0.0021389429,0.050724599,1.311342284,7,2:0,-5482.653420102,-10864.5584006781,-10941.306840204,450.3526864909,-10414.2057141872,46.9056106655,-10817.6527901861,12,P,0.014532968917223776,1.493335142326614,14.605263157894736,0.0582414702,PASS,0.7996863189527088
TRUE,2,6632,385,290,5957,0.0770823409,0.8808800894,0.0420375697,0.1663745866,0.3985844921,0.1967862255,Inf,0.0029140443,0.00125273,0.050632899,1.4374646684,7,2:1,-10316.1045445066,-20526.6131486514,-20608.2090890132,739.400751226,-19787.2123974255,78.8813537934,-20447.7317956545,12,P,0.025469471185116,2.3261551172239825,20.47422680412371,0.0420375697,PASS,0.52524136283396206
FALSE,2,247,0,3,244,0,0.9878022758,0.0121977242,NA,0.5379778587,0.2559482162,NA,0.0012925222,0.0025635093,NA,NA,8,2:0,-367.4930139098,-690.9109211266,-718.9860278197,0.2453030585,-690.6656180681,0.2453030585,-690.6656180324,8,F,0.10190118410366145,1.983338700101244,61.25,0.0121977242,FAIL,4.309035970056626e-4
TRUE,2,4046,58,685,3303,0.0203361577,0.8113042243,0.168359618,0.1851863266,0.408678094,0.2030409009,Inf,0.0018489169,0.0012959389,0.051948099,1.3898888475,8,2:1,-5540.5532392871,-10981.4406703615,-11057.1064785742,193.0467439023,-10788.3939264592,41.5975736625,-10939.8430967157,12,P,0.012787040386895931,1.4267006723850946,4.816326530612245,0.168359618,PASS,0.9558488403622014
FALSE,2,2147,0,1605,542,0,0.3135992615,0.6864007385,NA,0.5434003962,0.303443928,NA,0.0035298458,0.0299321649,NA,NA,9,2:0,-1551.5848496779,-3041.7950849727,-3087.1696993557,531.6202334964,-2510.1748514762,531.6202334964,-2510.1748512479,8,R,0.2092230357629694,8.479737245179379,2.957642725598527,0.3135992615,FAIL,0.05122238396672856
TRUE,2,338,90,11,237,0.3004035916,0.0290755802,0.6705208282,0.3186197083,0.5080562192,0.2522208285,Inf,5.632105e-4,0.0030829911,0.051546399,1.1930046815,9,2:1,-324.024981152,-578.1734115582,-624.0499623039,85.386970858,-492.7864407002,0.514211455,-577.6592001038,12,R,0.014330942537523317,5.473958848423457,19.833333333333332,0.0290755802,FAIL,0.13134058945713264
TRUE,2,813,166,74,573,0.2167949019,0.1932302336,0.5899748646,0.1353433651,0.2149269172,0.2095530751,Inf,0.0106802298,0.0011388164,0.050602399,1.5971421064,10,2:0,-1077.6873937165,-2074.9660141185,-2131.3747874331,445.3954011534,-1629.5706129651,260.1155761342,-1814.8504431526,12,F,0.9743556991591005,9.378359672375634,7.653333333333333,0.1932302336,FAIL,0.0019423933455311657
TRUE,2,10205,1114,505,8586,0.1409465138,0.8130247618,0.0460287244,0.11938601929999999,0.3442752309,0.1717984367,Inf,0.0020302502,0.0011636647,0.050251299,1.7268605231,10,2:1,-15744.2987794936,-31377.8299620844,-31464.5975589873,1829.0632398219,-29548.7667222625,163.9081413295,-31213.9218214283,12,P,0.003948566197867098,1.744703779361873,16.970355731225297,0.0460287244,PASS,0.8580190241534004
FALSE,2,23,0,1,22,0,0.9565219578,0.0434780422,NA,0.433333,0.2252767748,NA,3.08148791101958e-33,0.0021384947,NA,NA,10,2:2,-67.7933728059,-110.5027918843,-119.5867456118,1.10715539764545e-15,-110.5027918843,1.10715539764545e-15,-110.5027254994,8,F,0.07644174422901928,6939812070502106e14,11.5,0.0434780422,FAIL,2.2204460492503126e-16
TRUE,2,819,94,43,682,0.1323160424,0.0495472728,0.8181366848,0.1839263342,0.559616307,0.2857264637,Inf,0.0031367206,0.0024900031,0.050359699,1.3770380149,11,2:0,-902.7353415881,-1724.97367417,-1781.4706831762,86.5960929458,-1638.3775812242,5.9549498196,-1719.0187243247,12,P,0.04142640568438183,1.2597255802613256,15.522727272727273,0.0495472728,PASS,0.7339238610210644
TRUE,2,308,54,6,248,0.2407726816,0.7422623416,0.0169649768,0.1476327206,0.6638057548,0.2279242995,Inf,0.0329805956,0.0069577857,0.052083299,1.5450927713,11,2:1,-287.7570178312,-506.7528382667,-551.5140356624,104.2784310635,-402.4744072033,5.5287869321,-501.2240512233,12,F,0.9123957219840002,4.740099368107874,35.57142857142857,0.0169649768,FAIL,3.868619345581754e-4
TRUE,2,835,90,39,706,0.1342890303,0.0405978513,0.8251131184,0.3066160222,0.4796604922,0.2511426389,Inf,0.0025876768,0.0021214444,0.051724099,1.20292561,12,2:0,-998.7618836125,-1916.7945865267,-1973.5237672249,125.6145232224,-1791.1800633044,8.7775546349,-1908.0170318909,12,P,0.09008739296160972,1.2197712087104429,17.675,0.0405978513,PASS,0.6206899864480135
TRUE,2,1800,154,436,1210,0.108453513,0.6528671106,0.2386793764,0.1443792872,0.3954979922,0.1945134215,Inf,0.0019717926,0.0016987289,0.050359699,1.5356298614,12,2:1,-1895.6025148288,-3701.258526331,-3767.2050296576,296.0176993292,-3405.2408270018,44.8247552203,-3656.4337710979,12,P,0.03326839428404149,1.1607458965347563,2.7711670480549198,0.2386793764,PASS,0.9773347491870635
